Iteration,HHO_Mean,HHO_Std,MHHO_Mean,MHHO_Std
1,0.998440,0.000024,0.998403,0.000055
2,0.998446,0.000019,0.998424,0.000036
3,0.998458,0.000023,0.998424,0.000036
4,0.998458,0.000023,0.998430,0.000028
5,0.998461,0.000021,0.998448,0.000037
6,0.998471,0.000018,0.998448,0.000037
7,0.998471,0.000018,0.998448,0.000037
8,0.998476,0.000022,0.998448,0.000037
9,0.998476,0.000022,0.998448,0.000037
10,0.998476,0.000022,0.998464,0.000024
11,0.998476,0.000022,0.998464,0.000024
12,0.998484,0.000024,0.998464,0.000023
13,0.998484,0.000024,0.998464,0.000023
14,0.998484,0.000024,0.998464,0.000023
15,0.998484,0.000024,0.998464,0.000023
